"Timestamp","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")"
"2019/04/22 2:38:41 PM GMT+2","no","3 objects are blue circles","4","5","","no","there is one red square","5","2","","no","no","3","3","Most objects are blue squares.
One third of the objects are red. All of the red objects are circles.","no","no","3","5","","Among the squares, there are more blue than red objects. Amongst all of the objects, there are more red than blue objects. Among the red objects, there are more circles than squares.","no","2","3","","the squares are red","no","3","4","","I think 1/4 of the objects are squares, but may have miscounted. Among the squares there are only red objects","no","3","1","","more blue circles than other objects","no","3","3","","no","no","3","4","","no","no","3","3",""
"2019/04/22 2:38:44 PM GMT+2","ni","no","3","4","There are a couple of blue squares and circles. Additionally, there is one red square.","/","/","3","1","There a 6 blue squares, one red square, and one red and one blue circle.","/","/","4","2","There are many blue squares and 3 red circles","/","/","5","2","There are many squares and circles in blue and red.","/","/","5","2","There are many circles and squares. the different objects are either red or blue","/","/","5","3","There are many blue circles and two red squares","/","/","5","2","There are many red squares and circles. In addition, there are three blue circles","/","/","4","2","There are many blue objects, most of them are squares, some are circles. Additionally, there are few red squares and circles","/","/","4","2","There are many red squares and circles","/","/","5","2","There are many red and blue squares and circles"
"2019/04/22 10:30:11 PM GMT+2","no","There are 9 objects in total. ","2","3","","no","Not all squares are blue. ","3","4","","no","All blue objects are squares. ","2","1","","no","no","3","2","""Among the circles, half of the objects are red"" ==> ""Half of the circles are red"" ","no","There are as many blue squares as red circles","3","3","","Within the squares, all objects are RED","no","2","2","","Among the squares, there are just RED objects","no","1","2","","There is NOT roughly an equal amount of bue circles and the rest of the objects (12-8). ","no","1","4","","no","All objects are red. ","1","2","","no","There are as many red squares as red circles","3","2",""
"2019/04/25 1:48:24 PM GMT+2","yes","blue dots","1","4","","no","no","4","4","","no","yes","3","3","","idk","no","3","4","","idk","no","4","4","","Yesn't","Non't","3","4","","hodor","isdead","4","4","","ripthewall","viserion?","3","3","","Brandon","Stark","2","4","","Jorah","The andel","2","4",""
"2019/04/25 2:33:43 PM GMT+2","-","-","4","5","","-","-","3","2","The majority of the objects are blue squares, otherwise there are two red objects. There are only two circles among all the objects, where one is blue and another is red. ","-","-","3","2","Third of objects are red circles, the rest are blue squares","-","-","3","4","","-","-","3","2","There are more squares than circles. Among the squares, there is a mix of blue and red objects.
There are more red than blue objects, among both colours there is a mixture of both circles and squares","Within the squares, all objects are blue. - wrong. Squares are red","-","2","2","All objects except for two are blue circles. Those two left are red squares.","one forth of the objects are squares. among the squares there are just red objects","-","3","3","","Within the squares, two thirds of the objects are red. ","-","2","3","","-","-","4","1","All objects are red. There are more squares than other objects.
","-","-","3","4",""
"2019/04/25 2:34:38 PM GMT+2","no","white background and the blue circles","3","4","","no","Specific information about the red square","3","4","","NO","no","3","4","","Yes, the amount of circles is not the half of the exact total of objects in this scene","-","4","3","","there's an equal amount of circles and squares","No","3","4","","The squares are all red","no","3","2","","The squares are all red","No","3","2","","one third of the squares is blue. ","no","3","1","","no","no","3","4","","no","Red squares are not mentioned","3","3",""
"2019/04/25 2:37:09 PM GMT+2","no","some objects are blue circles","3","2","most objects are blue squares, some are blue circles, one is a red square","no","there is one red square","3","3","all objects are blue squares, except for a red square, a blue circle, and a red circle","no","no","5","2","one third of objects are red circles, the rest are blue squares","no","all squares are blue","3","3","Most objects are circles. Among the circles, half of the objects are red. There are also some blue squares.","no","Among the blue objects, there is a mix of circles and squares.","5","1","There are more squares than circles. 
There are more red than blue objects. Among both the red and blue objects, there is a mix of circles and squares.","Within the squares, all objects are blue.","Within the squares, all objects are red.","3","4","All objects except for two are blue circles.
A couple of the objects are squares. Within the squares, all objects are red.","One third of the objects are squares. Among the squares, there are just blue objects.","all squares are red","4","1","Most objects are red. The red objects include both squares and circles, with more circles that squares. There are also a few blue circles","Within the squares, two thirds of the objects are blue.","Within the squares, two thirds of the objects are red.","3","4","There is roughly an equal amount of blue circles and the rest of the objects.
Few objects are squares. Within the squares, two thirds of the objects are red.","no","all objects are red","5","1","all objects are red- most are squares","no","Within the blue objects, there are some squares.","4","3","There are more blue circles than other objects.
Few objects are red. Within the red objects, there are some circles. Within the blue objects, there are some squares."
"2019/04/25 2:56:24 PM GMT+2","no","there are 3 red circles","2","2","","no","there is a red square","2","2","","no","no","2","2","","no","no","2","2","","no","no","2","2","Yes, the mixture of blue and red squares seems to aggregate as there is only one red square","yes, all square are red instead of blue","no","2","4","","no","no","3","3","","Yes, there do not seem to be roughly an equal amount of blue circles and other shapes","no","2","2","","no","Yes, the amount of circles (instead of ""some"")","3","2","","no","no","1","2",""
"2019/04/25 2:58:28 PM GMT+2","No","That there is also a round shape possible. ","3","3","Except one red square, most objects are blue. Among those most are squares, some are circles. ","No","No","3","5","","No","No","3","2","There are nine objects, of which are two third blue squares and one third red circles. ","No","No","3","5","","No","No","2","1","There slightly more squares then circles of both blue and red, whereby more squares are blue and more circles are red. ","Yes, no blue squares exist","No","2","1","All objects but two are blue circles. The other objects are red squares. ","No. No blue squares. ","Most of the objects are red. ","1","1","Most objects are red and a circle shape. Some other objects are blue circles and red squares. ","No. Two third are red squares. ","No","2","1","","Yes. Not more red objects. Only red objects. ","No","4","1","There are only red objects. The objects are roughly equally distributed between squares and circles. ","No","No","3","4","Pretty accurate"
"2019/04/25 3:00:40 PM GMT+2","Most objects are blue squares is not true.","That there are also blue circles","2","4","Most object are squares","There are not red and blue objects WITHIN the circles. only within the group of circles","there are only squares and circles ","2","2","no","No","No","3","4","no","no","no","2","3","no","no","no","2","3","","Within the squares, all objects are blue is incorrect","no","3","3","","Among the squares, there are just blue objects is not true","yes, that there are also blue circles","2","2","","Within the squares, two thirds of the objects are blue is not true","That there are also red circles","2","2","","no","all squares are also red","2","2","","no","no","3","3",""
