"Timestamp","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")"
"2019/04/22 1:27:12 PM GMT+2"," there is  a red object","a red circle and a blue square","3","4","","no","no","4","4","","no","no","4","2","","yes","no","5","5","","no","no","3","3","","no","no","4","4","","no","no","4","3","","no","no","4","2","","no","no","3","4","","no","no","5","5",""
"2019/04/22 2:14:55 PM GMT+2","no, all correct","looks fine to me - could have mentioned red","4","1","There is one red circle, and one blue square. There are then many additional blue circles.","all correct","no","3","3","an equal number of re and blue squares, and lots more blue circles.","not mostly blue","equal number of red and blue shapes","1","2","equal number of red and blue shapes. the red are all squares. the blue are squares and circles.","all correct","all fine","3","4","","half are not squares. ","no","2","3","","all fine","no","2","4","","only 1 square","no","3","4","","more are not circles ","no","3","4","","all fine","no","1","3","","all fine","no","3","4",""
"2019/04/22 3:53:25 PM GMT+2","1 red","no","2","2","","no","no","3","2","","no","no","4","2","","no","no","2","4","","no","no","3","2","","no","no","4","2","","no","no","4","2","","no","no","4","2","","no","no","4","2","","no","no","2","4",""
"2019/04/22 4:03:32 PM GMT+2","red circle","no","3","4","no","No","No","3","5","No","Not the same amount of circles and squares, not mostly blue","No","3","5","No","No","No","2","3","No","No","No","3","4","No","No","Red circle","3","5","no","there are not a couple of squares, there's only one","No","3","4","no","Half the objects are not circles","No","3","4","No","No","No","3","5","No","Not mostly blue circles, almost the same amount of circles and squares","No","3","5","no"
"2019/04/22 7:47:23 PM GMT+2","I see only one square, one red circle and a bunch of blue circles ","no","3","2","no","It seems like there are less circles than squares ","no","3","5","no, it's a right description ","no","no","4","5","no","info is correct","no","2","5","no","almost half of the objects are squares ","no","2","3","n","correct","no","3","5","n","onlu one square","no","2","3","n","less than a half are circles ","n","3","5","n","nope","n","4","5","m","nope","no","4","5","same"
"2019/04/22 9:56:56 PM GMT+2","No.","One of the circles is red","2","3","","No.","Some of the blue objects are squares","2","3","","No.","No.","3","4","","No.","No.","3","3","","Less than half of the objects are squares.","The blue circle was left out.","2","3","","No.","Red circle was left out.","2","3","","There is only one square, not a couple.","Blue circles were not mentioned","2","3","","If majority of the objects are red squares half of the objects cannot be circles.","No.","4","4","","No.","Red circles were not mentioned.","2","4","","No.","No mention of the blue squares.","2","2",""
"2019/04/23 12:58:55 AM GMT+2","no","red color","3","3","I would give more details","No","The specific number of each object","4","4","no","no","mention red circles","3","3","no","no","no","5","5","no","Yes, there are only 4 squares vs 5 circles","The correct number of squares","2","2","no","no","no","3","3","no","yes, there is only one square","Better description of colors","3","3","no","no","no","3","3","no","no","no","3","3","no","Yes, there are also mostly blue squares. only two squares are red","no","2","2","no"
"2019/04/23 9:51:11 AM GMT+2","no","no","3","1","There's a red circle and a blue square, the rest of the objects are blue circles.","no","There are a few blue squares","2","4","","no","The red objects are all circles","3","2","","no","no","3","3","","less than half of the objects are squares","no","3","3","","no","no","3","2","","only one object is a square","there are several blue circles","2","3","","half of the objects are circles is incorrect.","no","2","2","A little more than half of the objects are red squares, the rest are blue circles.","no","no","3","4","","no","no","3","3","add: there are several blue squares"
"2019/04/23 12:30:51 PM GMT+2","There is only one blue square","There is one red circle","4","3","","Half of the squares are red","no","4","4","","There are exactly the same number of squares and circles ","no","5","4","","no","there is none additional information","5","5","","no","and one circle is blue","5","5","","no","no","5","4","","there is only one square","there are multiple blue circles","4","4","","no","no","4","3","","no","no","4","5","","no","there are also blue squares","4","4",""
"2019/04/23 7:35:19 PM GMT+2","No","The colour of the remaining object","2","4","","No","Squares are both blue and red. There is the same amount of blue squares as red squares","2","4","","No","Some circles are red","3","4","","No","No","3","2","Almost all objects are blue squares. the remaining object is red circle","Threre are four squares and five circles, making the first statement incorrect.","No","3","5","","No","That the remaining square is red","3","4","","There is only one square, not a couple.","That there are some blue circles","3","4","","There can't be mostly red squares and then half the objects being circles.","No","3","4","","no","no","3","4","","no","no","3","4",""
